,Company,Title,Location,Salary,URL,Site,Keyword,City,State,Description
0,CyberCoders,Lead Data Scientist,"San Francisco, CA 94102, USA","Full Time | Pay: $160,000 - $200,000/year",https://www.careerbuilder.com/job/J3M27F75W39VHB79LP5?ipath=JRG1&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,San Francisco, CA 94102,"Job Description

This position is open as of 1/16/2019.Lead Data Scientist -- Thriving Leader in the Fashion IndustryIf you are a Lead Data Scientist with experience, please read on!Top Reasons to Work with Us1. Based in San Francisco, we are a thriving leader in the fashion industry.2. Our company has been around for 7 years and we employ thousands of people.3. You will get the chance to work on exciting projects with a talented team.What You Will Be Doing-Design and test machine learning models to create highly accurate systems used in operations.-Write production quality code.-Take ownership of key components, ensuring that they meet the needs of the business-Collaborate with senior management, product management, and other engineers in the development of product requirements for the company's software.-Mentor team members to build the company's overall expertise-Work to make our company an innovator in the space by bringing passion and new ideas to work every day.What You Need for this Position-A quantitative degree-4-6 years of experience in a similar role-4-6 years of machine learning experience with heavy focus on CNN & RNN/LSTM architectures-4-6 years of experience with github, working with cloud systems application hosting, file storage, etc-Fluency in Python & SQL-High degree of familiarity with:-TensorFlow/Keras & Sklearn-Computer Vision & Sequence Models-Experience working with data warehouses such as AWS Redshift or Google BigQuery-An in depth knowledge or project you can showcase your skills-Comfortable working in an environment where innovation and change are the norm.-A passion for building great products.NICE TO HAVE-E-commerce experience-Startup experience-Experience writing APIs for use in production-Recommendation engine experience-Pricing experience-Image similarity experienceWhat's In It for You-Competitive base salary between $160k and $180k (we may go a bit higher for the right candidate)-401K matching-Health, dental and vision insurance-Commuter flex spending-Healthcare flex spending-Generous PTO-A mother's room-Flexible work hours-Friday bagelsSo, if you are a Lead Data Scientist with experience, please apply today!Required SkillsImage Data (with Keras or Tensorflow), Machine Learning, Convolutional Neural Networks, Recurrent Neural Networks, Long Short-Term Memory Architectures, Python, SQL, sklearn, Computer Vision, Sequence ModelsIf you are a good fit for the Lead Data Scientist -- Thriving Leader in the Fashion Industry position, and have a background that includes:Image Data (with Keras or Tensorflow), Machine Learning, Convolutional Neural Networks, Recurrent Neural Networks, Long Short-Term Memory Architectures, Python, SQL, sklearn, Computer Vision, Sequence Models and you are interested in working the following job types:Information TechnologyWithin the following industries:Fashion - Apparel - TextilesOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Job Requirements

Image Data (with Keras or Tensorflow), Machine Learning, Convolutional Neural Networks, Recurrent Neural Networks, Long Short-Term Memory Architectures, Python, SQL, sklearn, Computer Vision, Sequence Models"
1,Kforce Technology,Data Scientist,"San Jose, CA 95113, USA",Contractor,https://www.careerbuilder.com/job/J3Q5L05YD8ZNWQZ8WLK?ipath=JRG2&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,San Jose, CA 95113,"Job Description

RESPONSIBILITIES:Kforce has a client that is seeking a Data Scientist in San Jose, California (CA).Summary:We're using large datasets of real UAS flights to create and validate risk models that UTM services will use to ensure safe operations. You'll work with our partners to onboard data to an architecture that you specify, including designing and implementing ETL processes, auditing processes and analytics frameworks.Responsibilities:
 Set up our database infrastructure and data pipeline, managing all aspects from ingest and ETL to advanced analytics
 Determine the best algorithms to apply to the data, including machine learning tools as appropriate
 Working with our statisticians, create computational models for vehicle behavior and performance
 In collaboration with the Safety & Risk Architect, you'll identify safety-related trends and determine the best way to represent them in the Open Risk Framework and underlying risk models
 Collaborate with development engineers to incorporate your models/pipelines/architectures into deployed products



Job Requirements

REQUIREMENTS:
 BS, MS or PhD in Statistics, Computer Science, Data Science or a related field
 Extensive experience working with various data sets, knowledge of state of the art in machine learning, and understanding of the power and shortcomings of data
 Experience using TensorFlow or other large-scale machine learning frameworks in production
 Extensive experience building, running and maintaining database infrastructure
 Experience working with Hadoop, Spark and other tools for distributed computing is essential
 Experience implementing best practices in data security, integrity, workflow traceability, and auditing
 Experience with optimization and statistical data analysis tools 
 Experience with one or more programming languages (Python, R, Julia) 
 Your experience has been in the context of an early stage effort. This could be at a startup or a new project in a more established company
 Comfortable working as part of a cross-functional team with shifting priorities as needs change and new opportunities arise
 Experience with software engineering concepts in a small, tightly coupled team--and how these evolve with growth of the team
 Deadlines are your friend, and you're a natural communicator who can articulate bottlenecks and challenges
 Outstanding technical leadership and communication skills 
 Innate curiosity leads you to keep up with the latest research, news and developments in your field
 If you've published journal articles, conference papers or technical reports, that's a plus. We expect you to share the insights, best practices and paths forward that you develop with the rest of the world, including at relevant industry conferences

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status."
2,AllSTEM Connections,Data Scientist,"Mountain View, CA, USA",Full Time,https://www.careerbuilder.com/job/JCM3DN779X40FSJXB5V?ipath=JRG3&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,Mountain View, CA,"Job Description


AllSTEM Connections is currently looking for a Data Scientist to work in Mountain View,CA.  If interested in the role, please submit your resume and if your skills match the qualifications, I will give you a call to discuss the position more in detail. Thank you for your interest.



Responsibility: 

Help the team to streamline data pipeline on our modeling efforts and capital market data tracking and monitoring. 

Work with our data scientist team to validate machine learning model and data during the development process

Support big data and machine learning based feature generation. Help the team to validate data and push data into production. 

Support our strategy implementation process. 

Support the team’s analytics by building clean and accurate data infrastructure. 

Run ad-hoc analysis for stakeholders’ business needs. 

 



Job Requirements


Skill Requirements: 

With strong coding skill in SQL and Python. Prior experience with AWS is a plus. Candidate should be able to demonstrate these skills with prior work experience. 

Prior experience working with big data that’s neither pre-processed nor cleaned

Basic understanding of statistics/ML including knowledge on model development/validation/performance metrics

Detail oriented and logical thinking, be able to understand business question in an efficient way. 

Passionate for learning new things and goal driven

Prior lending business knowledge from other financial institutions or fintech area is a plus. 

 

Skills:

Skill Requirements: 

With strong coding skill in SQL and Python (on processing data). 

Prior experience with AWS is a plus. 

Candidate should be able to demonstrate these skills with prior work experience. 

Prior experience working with big data that’s neither pre-processed nor cleaned

Basic understanding of statistics/ML including knowledge on model development/validation/performance metrics

Detail oriented and logical thinking, be able to understand business question in an efficient way. 

Passionate for learning new things and goal driven

Prior lending business knowledge from other financial institutions or fintech area is a plus.



AllSTEM Connections is an equal opportunity employer and does not discriminate against any person on the basis of race, religion, color, gender, gender identity, sexual orientation, age, national origin, disability, veteran status, or any other status or condition protected by law.

Job Types: Full-time, Contract"
3,Kelly Scientific Resources,Data Scientist I,"South San Francisco, CA 94080, USA",Full Time,https://www.careerbuilder.com/job/J3M7326VGSKG1GMJ5XV?ipath=JRG4&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,South San Francisco, CA 94080,"Job Description

Kelly Scientific Resources is a specialty service of Kelly Services®. As the world's largest provider of HR solutions to the scientific community, Kelly Scientific Resources is focused exclusively on placing skilled scientific professionals in contract, contract-to-hire, and full-time science jobs across a full spectrum of related industries and disciplines.  Our scientists contribute to the research and development of therapeutics that change the lives of those affected with disease. We have an exciting contract opportunity in So San Francisco for a Data Scientist to join a leading biotherapeutics client.   Data Scientist IDuties: The Position is Early Clinical Development ECD department is seeking a Data Scientist reporting to the Predictive Analytics Team Lead.The Predictive Analytics group supports clinical development in the area of trial design, study planning and the creation and application of predictive algorithms.The role will require cross-functional interactions with Clinical Science and Clinical Operations.The Data Scientist will act as a consultant and be required to both establish and apply new machine learning methods to specific problem domains within those functions.The Data Scientist will primarily be responsible for the development and the deployment of machine learning methods in early clinical development with particular focus on the application to: protocol writing, clinical trial planning/forecasting, and study execution.In addition, the data scientist may work to apply methods from the ECD AI Artificial Intelligence team to specific problem domains.Responsibilities Lead key machine learning pilots to ensure successful completion and develop plans to integrate capabilities into the normal early clinical development processAccess, process, manipulate data of large volumes and from diverse sources e.g. Oracle Clinical, Teradata, Medidata RAVE, ClinicalTrials.govDevelopment of new and novel machine learning methods for predictive modeling and simulation-based modelingProject and predict business processes including clinical site activation, patient screening and enrollmentDetect trends and anomalies in data and analysesConduct ad hoc requests to support clinical development business needsPossess in-depth knowledge of multiple real-world data assets and share information about these data to business partners and the ECDi team.Skills: Proficiency in PythonDemonstrated proficiency using Apache Spark and SparkMLDemonstrated Proficiency using Tensorflow and/or PyTorch Demonstrated Proficiency using KerasDesirable, experience using a probabilistic programming library or language such as PyMC3, Edward or FigaroStrong analytical and problem-solving skillsExcellent oral and written communication skillsAbility to lead cross functional multi-disciplinary teamsAble to work in teams and collaborate with others to solve the most challenging business problemsEducation:Degree in a relevant technical field such as Statistics, Mathematics, Computer Science. Masters or PhD is a plus2+ yrs experience in using Statistics, Mathematics, Computer Science 1+ yrs with a PhD3+ yrs experience in Clinical Development, Pharmaceutical, or healthcare industry

Why Kelly®?
With Kelly, you’ll have access to some of the world’s highest-regarded scientific organizations—
providing you with opportunities to work on today’s most challenging, research-intensive, and relevant
projects. Our connections can lead you to innovative scientific pursuits you’ll be proud to help
advance. We work with 95 of the Fortune 100™ companies, and found opportunities for more than 9,000
scientific professionals last year.
You pursued a career in science to fuel your quest for knowledge and your desire to make the world
a better place. Let Kelly fuel your career—connect with us today.
About
Kelly Services®
As a workforce advocate for over 70 years, we are proud to directly employ nearly 500,000 people around the world and have a role in connecting thousands more with work through our global network of talent suppliers and partners. Revenue in 2017 was $5.4 billion. Visit kellyservices.com and connect
with us on Facebook, LinkedIn and Twitter.
Kelly Services is an equal opportunity employer including, but not limited to, Minorities, Females,
Individuals with Disabilities, Protected Veterans, Sexual Orientation, Gender Identity and is
committed to employing a diverse workforce. Equal Employment Opportunity
is The Law."
4,The Judge Group,Data Scientist,"Redwood City, CA, USA",Full Time,https://www.careerbuilder.com/job/J3S10S63SVVJNV7CMFS?ipath=JRG5&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,Redwood City, CA,"Job Description

Our client, a leading Pharmaceutical company, is currently seeking a Data Scientist to join their team. **Candidates must be available to work directly on our w2 without sponsorship** This successful candidate will have the following background:  Programming experience in XML, Java Scripts, Python 
 Minimum of 4 years of experience handling Bioinformatics data sets in a research or industry setting.
 Data analysis with tools like SpotFire or Tableau are essential.
 Programming experience in R, R-Shiny is required
 Must have a Bachelor's or Master's Degree in Biology, Bioinformatics, Computational Biology, Computer Science (with Biology as minor) or related discipline. Appropriate education and/or experience may be substituted on equivalent basis.
  **Candidates must be available to work directly on our w2 without sponsorship** The Judge Group is a privately-owned, leading professional services firm, providing technology, talent and learning solutions to businesses around the globe. Judge’s expertise is positioned at the crossroads of people and technology - two of the most important aspects of successful business today. Our solutions are successfully delivered through a workforce of 4,500+ professionals and an international network of more than 30 practice offices. The Judge Group prides itself on delivering services of exceptional quality and value while upholding our commitment to customer service. Find out more information at www.judge.com.   "
5,CyberCoders,Principal Data Scientist,"Palo Alto, CA 94304, USA",Full Time,https://www.careerbuilder.com/job/J3N0TB5XT0MH6FY275S?ipath=JRG6&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,Palo Alto, CA 94304,"Job Description

This position is open as of 1/16/2019.Principal Data ScientistIf you are a Principal Data Scientist fluent in Python, please read on!We are a big data company based in Palo Alto, CA and own online behavior data of 1 Billion users across the globe. We are looking for a talented and highly experienced Principal Data Scientist to help drive the development of model building pipeline, future generation, future selection and model tuning. You will provide the vision of data science, and guide junior data scientists and engineers.We are a product-focused organization with engineering at its core. Our engineers are revolutionizing how the world both understands and uses social data.What You Will Be Doing-Drive the development of model building pipeline, feature generation, feature selection and model tuning. -Provide the vision of data science, and guide junior data scientists and engineers.What You Need for this Position-PhD in a field related to data science, machine learning, or artificial intelligence-10+ years of experience in applying machine learning algorithms-Deep understanding of machine learning algorithms, such as deep learning, GBM, SVM, etc-Extensive experience in feature generation, feature selection, and model tuning-Familiar with machine learning packages such as sci-kit learn-Fluent in PythonNice to Have:-Programming experience in Scala or Java-Experience with Spark, Spark ML, and PySpark-Experience with TensorFlow on Spark or H20 on SparkWhat's In It for You- Excellent Health Care Coverage-Catered lunches and snacks-Generous PTO PolicySo, if you are a Principal Data Scientist with experience, please apply today!Required SkillsMachine Learning, GBM, SVM, Python, Feature Generation, Feature Selection, model tuning, Scala, Java, SPARKIf you are a good fit for the Principal Data Scientist position, and have a background that includes:Machine Learning, GBM, SVM, Python, Feature Generation, Feature Selection, model tuning, Scala, Java, SPARK and you are interested in working the following job types:EngineeringWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Job Requirements

Machine Learning, GBM, SVM, Python, Feature Generation, Feature Selection, model tuning, Scala, Java, SPARK"
6,"Morgan, Lewis & Bockius LLP",Data Scientist - eData (ML Rex),"San Francisco, CA, USA",Full Time,https://www.careerbuilder.com/job/J3Q7H9779TMNWKZBV2R?ipath=JRG7&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,San Francisco, CA,"Job Description

Morgan, Lewis & Bockius LLP, one of the world’s leading international law firms with over 4,000 lawyers and staff in 30 offices is seeking a Data Scientist reporting to the Director of eData Operations. This position can reside in the New York, San Francisco, Houston, Chicago, Washington DC or Philadelphia office the Data Scientist will model complex legal data issues, discover insights, and identify opportunities for improved business unit efficiencies, process improvements, and workflow enhancements & modifications, through the use of statistical, algorithmic, mining and visualization techniques. She/he will be involved in technical projects involving natural language processing, machine learning, and data visualization. Responsibilities: • Imports, cleans, transfers, validates and models data with the purpose of understanding and drawing conclusions for business decision making purposes.• Applies machine learning, and other applicable techniques, to design and prototype applications that extract understanding from text sources.• Interprets data, analyzes results using statistical techniques, and provides ongoing reports.• Produces complex analysis on multiple data sources using SQL, Excel, Access, Hadoop, Python, Splunk, Apache Spark, and other big data analytical tools.• Designs, writes, and maintains custom database software for firm wide applications.• Creates graphical representation of data and reports.• Develops and implements data collection systems and other strategies that optimize statistical efficiency and data quality.• Generates questions and identifies issues based on supplied data sets.• Identifies and leverages new technologies to enable analytical best practices.• Stays up-to-date on the latest developments in the field, by participating in conferences and other venues, and bringing forth promising methods for the department to further explore.• Proactively identifies new areas of data scientific research, and in partnership with internal business groups, develops value-based proposals for investment.• Collaborates with Knowledge Management, Information Governance, and other internal business teams, to develop and commercialize user-centric, adaptive, and robust systems.• Creates variable-based workflows and models for processing data sets through repeated processes, and retains the analysis process from data aggregation to generation of deliverables.• Identifies, analyzes, and interprets trends or patterns in complex data sets. Experience/Qualifications:• a Bachelor’s Degree preferably in Computer Science, Information Systems, Computer Engineering, Engineering, Statistics, Computational Linguistics or other equivalent quantitative field,• a minimum of 3 years of IT data analysis or related experience. • Experience with general enterprise information technology processes and principles.• Experience with running queries, report writing, and presenting findings.• Technical expertise in utilizing data models and data segmentation techniques.• Experience with software prototyping and engineering, with expertise in applicable programming and analytics languages and frameworks, such as: Matlab, Python, R, TensorFlow, Numpy, Scipy, Scikit-learn, SpaCy, NLTK, and Keras. • Experience using various open source machine learning and analytics packages to generate deliverable modules and prototype demonstrations.• Knowledge, experience and/or certifications in low code solutions recommended but not required.• Experience analyzing raw data, using investigative skills.• Experience with statistical analysis, data analysis, data management, reporting, data mining, and data manipulation.• Ability to work effectively in a team-oriented environment, as well as the ability to work independently, while on multiple projects.• Ability to define problems, collect data, establish facts, and draw conclusions.• Excellent communication skills and the ability to build effective internal and external client relationships.• The ability to work concurrently on projects; and the flexibility and dexterity to rapidly shift focus.• Highly developed organizational and time management skills, and strong attention to detailQualified candidates must apply online by visiting our website at www.morganlewis.com and selecting “Careers.” Morgan Lewis is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.Pursuant to applicable state and municipal Fair Chance Laws and Ordinances, we will consider for employment qualified applicants with arrest and conviction records."
7,Alpha Consulting,Mid-level Data Scientist,"Redwood City, CA, USA",Contractor,https://www.careerbuilder.com/job/J3T5ND67TLSC2LLN4KS?ipath=JRG8&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,Redwood City, CA,"Job Description


MID-LEVEL DATA SCIENTISTREDWOOD CITY, CA
  Project Description: The programmer analyst will assist in designing software and analytical tools for supporting Bioinformatics and scientific research projects. This would require development or implementation of new or existing applications, scripts, and tools.  This position will work closely with research investigators as well as project leads to analyze the requirements and implement the systems to support various in-house research projects. Data analysis with tools like SpotFire or Tableau are essential. The position is suited for collaborative multi-disciplinary setting. The candidate should be highly enthusiastic, collaborative and willing to help Scientists by adjusting priorities appropriately.  This is a contractor position who will help us in maintain and support bioinformatics tools hosted in Domino in RWC such as Epitope Binning, Sequencing, Clustering, and Dashboard.
 Position Requirements: This is a mid-level position with a minimum of 4 years of experience handling Bioinformatics data sets in a research or industry setting.   Programming experience in R, R-Shiny is required.  Good software engineering practices like version control is required.
 Minimum Qualifications: Bachelor's or Master's Degree in Biology, Bioinformatics, Computational Biology, Computer Science (with Biology as minor) or related discipline. Appropriate education and/or experience may be substituted on equivalent basis. Experience: Minimum of 3-4 years of experience in an industry or academic setting.
 Preferred Experience: Experience with a number of programming languages and analytics tools.
 Nice To Have: Programming experience in XML, Java Scripts, Python. Experience in Domino, SevenBridges Galaxy, MongoDB, Basespace. Experience with AWS Cloud and AWS CLI, Anaconda and RS Connect is a desired. Previous work experience in antibody-based informatics tools such as AbGenesis/Distributed Bio, Vortex is a plus. Strong working knowledge of NGS pipelines and workflows and various sequence and alignment algorithms like BLAST, FASTA The candidate should have some knowledge about antibodies as therapeutics.
 This 6+ month position starts ASAP. Please E-MAIL your resume (attachment to email) with rate and availability to Michelle: [Click Here to Email Your Resumé]  ALPHA'S REQUIREMENT #19-00080MUST BE ELIGIBLE TO WORK IN THE U.S. AS AN HOURLY W2 EMPLOYEE"
8,Genesis10,Sr Data Scientist,"San Francisco, CA 94105, USA",Contractor,https://www.careerbuilder.com/job/J3Q3J66QG2X07QCD6BY?ipath=JRG9&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,San Francisco, CA 94105,"Job Description

Genesis10 is currently seeking a Sr Data Scientist with our client in the Retail industry in their San Francisco, CA location. This is a 6 month + contract position.Description: Seeking a Sr Data Scientist
Responsibilities: Develop/enhance pricing models, which are recommendation of optimized discount/pricing actions bases on complex constraints Provide thought leadership on possible modeling solution for different business /supply chain scenarios Engage with engineering and Pdm's to enable analytical features Enhance Measurements aspects of model
Requirements: Strong quantitative training  Substantial experience in creating optimization models  Savviness with python/gurobi framework must Business acumen and great communication  Some experience with Retail and Optimization space  5+ years related professional experience  Proven achievements resulting from building and supporting optimization models for business scenarios  Degree in quantitative science (graduate degree/Phd a plus) Operations Research, Industrial engineering etc.  Experience with languages used for querying (e.g. SQL/Hive), and optimization packages  Proven ability to succeed in both collaborative and independent work environments.  Ability to leverage experience to break complex problem  Experience working with business partners to validate the output of analytical models  Retail industry experience preferred  Operations/Supply Chain domain experience preferred Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)
If you have the described qualifications and are interested in this exciting opportunity, please apply!About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives.  If you are a high performing business or IT professional with solid, referenced experience, we want to meet you.  Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations.  We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project.   To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com.  ""Genesis10 is an Equal Opportunity Employer, M/F/D/V”"
9,Genesis10,Data Scientist,"San Francisco, CA 94105, USA",Contractor | Pay: $110/hour,https://www.careerbuilder.com/job/J3M8GR74LHH8YNH19YR?ipath=JRG10&keywords=data+scientist&location=california&searchid=d685bd4c-4055-44f5-86f3-501468711b41%3AAPAb7IS9v34SY9rxCf9gFWYyeCU1P8t9Yw%3D%3D&siteid=cbnsv,CareerBuilder,Data Scientist,San Francisco, CA 94105,"Job Description

Genesis10 is currently seeking a Data Scientist with our client in the Retail industry in their San Francisco, CA location. This is a 6 month + contract position.Description: Seeking a Data Scientist
Responsibilities: Develop/support analytical pipelines Develop/ Enhance current algorithms/models that support retail planning Present results and finding to stake holders 
Requirements: Strong quantitative training  Substantial experience in SQL  Savviness with python/Teradata framework  Business acumen and great communication  Team player  4+ years related professional experience  Proven achievements resulting from building and supporting models in Retail/Client/Finance/Tech Degree in quantitative science/engineering (graduate degree a plus)  Experience with languages used for querying (e.g. SQL/Hive), and statistical analysis (e.g. SAS/R/Matlab/python)  Proven ability to succeed in both collaborative and independent work environments.  Ability to leverage experience to break complex problem  Experience working with business partners to validate the output of analytical models  Retail industry experience preferred  Operations/Supply Chain domain experience preferred Able to work as a W2 employee of Genesis10 (no Corp-to-Corp)
If you have the described qualifications and are interested in this exciting opportunity, please apply!About Genesis10:Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives.  If you are a high performing business or IT professional with solid, referenced experience, we want to meet you.  Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations.  We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement – project after project.   To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com.  ""Genesis10 is an Equal Opportunity Employer, M/F/D/V”"
