,Company,Title,Location,Salary,URL,Site,Keyword,City,State,Description
0,Perspectium,Associate Data Scientist,"San Diego, CA", ,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BtZK88UNIm-w8hGaJN8qWZQOBJ-KecBV-HCjIzSPQ9IF7fqgHKFnsXd0uQGDxlYm5RcKwm97uixeI4nimOhb5h8AuoqpTIkQs7Q3H7h5oxh8jUNwcGYPgJd-qslrUkEbcdMOrxkPRJPkOSznXyBSYcIulvagPopPlKlGH6zXiBLKopPguZM7ufwhlpwKro03tbPswTbpVmsbsKFE8WEpWfddm867NRYM5KgLAcRTsNGMGnAm7P4yHzoeX1rlm9sRa6qj6euh2x2qLJWaqaSZVWNHtiEsG0c5ZqoRcuLI7YNsruIoHTf7hLLPLFin69z_mqFS1ggW9UY6JCeA1huEA0r3u9nNuvNDUQP1DGMEIemFI51NuPdHKQAPhbjCcqbe7oqcktbgQZLJnrL_kv2UIOZXaAIgFcHRlmBzO5v0ySMvsF4rpoUNTSj0PDaYmJBF4vXuv-AsFmj6wyjxXYlsh-DzACwUwYA01FrLYceqlNA5CFKe8QDySVZVc29-d2dhZPJa2nFFZPIA==&vjs=3&p=1&sk=&fvj=0,Indeed,Data Scientist,San Diego, CA,"Perspectium is solving enterprise integration challenges for some of the most data-reliant businesses in the

world…and we’re growing fast. To fuel that growth, we are looking for the best and brightest in the world to join

our team.
Location

The successful candidate would be based out of our San Diego headquarters.
Working at Perspectium

Whether you’re a dazzling data scientist, a spectacular salesperson, a marvellous marketeer, or a calculative

consultant, we would love to have you join our ranks.

The pace is fast, the work is stimulating, the customers are enthusiastic, and innovation is expected. Founded

in “classy"" San Diego, Perspectium also has offices in London, New York and Dallas.
Position

As a Data Scientist, you will develop and apply a variety of methods to identify, collect, process, and analyze

large volumes of data to identify trends and patterns. You will prepare reports and briefings to provide insight to

stakeholders as well as build reports that come bundled as part of our products and solutions to enhance the

company’s offerings. In this role you will be given responsibilities to make a large impact on the design and

implementation of our solutions, working in an agile, fast-paced environment with a highly passionate team.
Main Responsibilities:
Communicate with internal and external customers to understand business needs and provide analytical and reporting solutions for internal use and as part of our product offerings
Review and extract knowledge and insights from structured or unstructured data drawing upon the practice of data analysis, predictive analytics, data mining, pattern recognition, data modeling, machine learning and various statistical methods
Act as a key member and regularly participate and interact as part of a cross-functional product development team of all backgrounds and disciplines
Support sales and professional services teams
Working with members of the design/architect team and other product teams, participate in product development team analysis and collaborative feature design sessions
Qualifications:
0-2 years related experience in the Data Science field
Bachelor’s/Master’s in Data Science, Applied Mathematics, Statistics, Information Science, Computer Science or a related discipline
Ability to develop data stories and demos based on visualization and data mining technologies such as Tableau and Python
Proficient in at least one statistical programming language (such as Python) used by data scientists and/or data engineers
Experience with machine learning techniques a plus
Experience in an object-oriented language like Java a plus
Interest in, understanding of, or experience with agile development methodologies
Great at solving problems, debugging, troubleshooting, and designing/implementing solutions to complex issues
Meticulous in completing tasks on schedule, with high quality, and with attention to detail
Team player with strong technical and analytical abilities
Excellent communication skills (written and verbal)
Open to being challenged and willing to continuously learn and improve"
1,Harnham US,Data Scientist,"San Diego, CA","$110,000 - $130,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYq0phFXiQIUPJIOiI-sEq_P14pkRyq4GMOYFIXFajR7U550mg77I2smJ5YRN_Y09869T1OUeCOYRpMpRxUcGBwAJlzt1Xa5k3G0RAIT_n3-x46pgKjXBG6rEbx5DDFZztRqmBTh_7VmSlaGPAJb7_tkfhBHQ7InhVfmzJPcweb3ncLaYNdAWN1Hg-VhWxoTAfcPlePVhWgjDbrt_Fa2UyJKTgpD-Gf3SyIqO6CLElPLXcqgilPr3YY8juPI6dvmejygEOHeI_7D4DFreR68MBPYSiwXhjY4XtRAOFvhDo5qLvvTCPapxN2wIRmUH3Fr9vd3k1blEX6SqxCim4aLl1IccV49PBRxO9bmrcTQ2cs-TvrJqmnAFceyBHSrE3WI__rz7ZBLoLf23LexfMoD-sPX1Ef2vcoVr8qrXEhzbYSL1R80hwQIHHcWf4L1M7dZuU8frSMPyho8QzWzi8tFfqBM4h8y1DqC98w_0il_dvtm29uhxCjr8Hw8I5vLGT9_fZGRpUJUPWmOi0FQdQ5vtGEA58G6m6orS9U5N7Xzx_xkbaSqyC6ApSwLlxUlOCAEezqM3EDVqCl-b9&vjs=3&p=2&sk=&fvj=0,Indeed,Data Scientist,San Diego, CA,"$110,000 - $130,000 a yearDATA SCIENTIST
DATA SCIENTIST - Machine Learning
San Diego
$110,000 - $130,000 + BENEFITS

THE COMPANY
Tech startup with a music video and entertainment tech platform
Hundreds of millions of monthly views globally
Offers consumers an unique way to upload original content and explore exclusive videos
Fun and laid back tech startup culture

THE ROLE
As a Data Scientist, you will
Innovate and experiment at scale on both music and video verticals
Make data drive decisions and impact content, marketing, and advertising
Use your extensive understanding and knowledge of statistics and machine learning to help solve real world business problems
Work in an agile team environment
Deploy data science frameworks and work with a range of stakeholders

YOUR SKILLS & EXPERIENCE
Advanced education in a data-centric field
Experience writing production level code
Extensive knowledge of advanced statistical methods and predictive analytics
Experience building out ETL pipelines - Spark/Scala
Desired Tools: Python, Tensorflow, Numpy, Pandas, Scikit Learn, SQL

THE BENEFITS
As a Data Scientist, you can expect a base salary between $110,000 to $130,000 (based on experience) plus competitive benefits."
2,The Control Group,Business Intelligence Data Analyst,"San Diego, CA 92101", ,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXhW8fA2GRKlwIXrA0vpcz1fMfCra_QoF5DofCSmm7EGs2koUgn0hB28rXtvHkayZ6fJ5K0kNCW9wUWkuUNF3h4t0Dq59vqEUFohAktRKNSsYoQFHsK4HBxEkTR_wRhV3QxH4X8ztMYrKrwUySBpzXec-ZGLAZ6SfTAP58d2jkawHy8_pH16s5QbSRkaS9STCMAoysvGO8_wDqMYbqaDjujMa20WP_NoQdgQWpCvib66S0DKXcpq3D5JoRe66zXl8fIai9Wf1aeYSADH7KfWGSfuDmQAkgpAtPDSfAwZvs4xNx4Xpi7_KCa2Dy_Vtg-noKQlFJ7A_VOeP29kARwFb-r-P_CHXtUZhVQ_F1wrxfp8_x-_auM9NSaZu8OAFWUiOgaG8qhDZ_5qD4wq6fC1k5rk0gxWMRBSuzhAM0n_nlRcB_chSKXiDRhrBYUfc7F1MHRYscu6QUx2YbIv4sbmDmGnP6eNgtJmgKT5pfaoH27Wj8rzaGS7Wuz0c7wbUmRJI=&vjs=3&p=3&sk=&fvj=0,Indeed,Data Scientist,San Diego, CA 92101,"Business Intelligence Data Analyst

The Control Group (TCG) is entering an exciting growth phase in 2019, and we are looking for a forward-thinking Business Intelligence Data Analyst to help drive and lead business intelligence initiatives, mainly focusing on customer and operational analytics. This newly created position will report to the Senior Manager of Finance and Business Intelligence and will be responsible for innovating the way we use data to understand and optimize our relationship with our customers and operational processes. Are you a driven analyst with equal parts technical, business and communication skills? Are you excited about using leading edge analytics and data science tools to extract value from large amounts of financial, customer and operational data? Are you the type of analyst who loves digging into data and creating new ways to view and understand customers? Do you get excited about shaping the future and continually learning in the fast-moving world of data and analytics? If so, then this may be the opportunity for you!

TCG is an award-winning web development company with over 15 million customers nationwide. Our cutting-edge technology keeps people safe — both online and off. Our websites are consistently ranked in the top 500 top traffic sites in the US. Our products have been featured on the Discovery Channel, Mashable, Vice, Entrepreneur, Business Insider — and even made a cameo in a Disney animated comedy! A pioneer of new ideas, we’re constantly looking to develop and deploy innovative strategies and solutions. Our people and culture are second to none: we’re innovative, creative, collaborative and talented. We work hard, play hard, and together — we work magic!

Join our amazing team in our brand-new state-of-the-art office with stunning views of beautiful downtown San Diego! Our dog-friendly office is packed with snacks and crazy-good perks (like free massages, kombucha on tap, free gourmet catered lunches, ping pong, video games, offsite team events and more)! We offer a highly competitive salary + bonus package, 100% company paid health insurance (Medical, Dental, Vision), UNLIMITED vacation, Paid Sick Leave, Paid Holidays, Student Loan Repayment Program, 529 Education Savings Plan, Training/Education Reimbursement, free Gym Membership, Paid Parking and 401k Plan with Company Match. Check us out at www.thecontrolgroup.com/careers.

You will already have solid experience extracting actionable business insights from large amounts of data. You have demonstrated success in evaluating analytical approaches and best practices and recognizing where these techniques and models would be valuable in the context of the business. You use your unique blend of business knowledge, data analysis skills, communication and creativity to create actionable insights from business data to create business value. You are a forward thinking, passionate and innovative analyst.

Responsibilities Include (but not limited to):

Utilize cutting-edge cloud data warehouse technology to dig deep into over 20 terabytes of customer transaction data, website event logs, product usage data and customer contact data including email, social media, chat and phone calls to extract actionable insights about our customers
Use data visualization, reports and data-driven presentations to present digestible conclusions and recommendations to top decision makers, so that business strategies can be designed around them
Frame and investigate theories and assumptions with high-impact potential and utilize descriptive, predictive and prescriptive analytics techniques to test your theories
Bring analytical expertise into cross-functional projects and work collaboratively with departmental leaders and subject matter experts across multiple departments, to enable data-driven decision making
Act as a translator between business and technical teams, by consulting on the data available or feasibility of acquiring data, keeping cost versus benefit in mind
Monitor existing metrics, develop/propose new metrics, and develop a deep understanding of the business through daily data analysis activities
Continuously learn and apply emerging technologies and techniques, pushing you and your team to new heights
Other duties as required
Requirements:

Bachelor’s degree in Math, Statistics, Computer Science, Information Management, Finance or Economics (or equivalent quantitative discipline)
3-5+ years’ experience in an analytical role, preferably in a SaaS or subscription-based business model
Highly proficient using analytical tools, including strong SQL, Tableau (or similar), advanced Excel skills and preferably some R and/or Python
Direct marketing, e-commerce or online advertising experience a huge plus
Strong ability to analyze large volumes of data and make sound conclusions from data sets
Expertise in data modeling and concepts; excellent analytical, planning, prototyping, data product development skills
Strong understanding of relational databases, data warehousing concepts and data engineering
Excellent written and verbal communication skills; ability to adeptly communicate and interact with technical and non-technical audiences; ability to present to various groups including Executives
Self-motivated with a driven curiosity of data and the value it brings to business decision making
Familiarity with applied statistics and optimization techniques and ability to apply them to real-world business situations
Ability to build strong partnerships across internal and external teams
Strong work ethic to get the job done and done right to meet goals and deadlines
Extremely accurate with the ability to multi-task with strong attention to detail
Must be a self-starter and highly motivated
Excited to learn new things
Note for Principle Agencies - Principle agents should not forward resumes to The Control Group (TCG). TCG will not be responsible for any fees arising from the use of resumes submitted from agencies without a prior written and signed agreement and authorized job order for this position in place."
3,Novelty Media,Lead Data Scientist,"La Jolla, CA", ,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSt_mHn3At6s0LUw4GfaNmwydfPYRuBlmd3W-x_ZlJ4d-xrrEo0XDZcvOJ2sTEA0KdP6fhzvBnsXw1XrNx5C3EexiU17LCsMEggB6-c_pUXYhMxtLk5zmWvhq695yCEAddPSNBX7QVmAWj5FBOPYVd7K-4P5q9wY4r3pST3f5oW0nqXZFARDSm9UDycbV5m-_mfipUvLePG_auwiVqdxZYT95u2Lf9ij2scHn7sqsvPhvfU7xQPD8QRMhTDlE4n8uVf1cljsqVuVIIHtattbOpLgy2DVbL5smfmDe9eK50Jwsg9HnFXFtjRloqJt9rgWAvctdLTmVJdFaCb5faF0eLUmzCg2e5eN8RJUmKwXbM4s7bPnE2SiH87jUdKGPtjqN-QYHXH6lSyyMy_0HLGurJZyndhlXqgdfCNedbaG__ZHdVp8pbvYsf&vjs=3&p=4&sk=&fvj=1,Indeed,Data Scientist,La Jolla, CA,"Novelty Media is looking for a driven, analytical Lead Data Scientist.Are you interested in utilizing artificial intelligence, deep learning, and machine learning to enhance new technology? Do you excel at manipulating, transforming, and cleaning raw data? Does your brain think in series of algorithms? If yes, then we would be extremely interested in speaking with you regarding a new and exciting opportunity!As a Lead Data Scientist at Novelty Media, you work closely with the CEO and major stakeholders on major, data-driven projects to help automate and optimize processes within the digital publishing technology field.Why work for Novelty?Work with motivated, fun, and smart colleaguesProfessional growth in our fast-paced and growing start-upEmployer Contribution to Health benefitsFree gyms on premisesGreat views from our office across the street from UTC Mall in La JollaWho are we? Novelty Media is a digital media publishing company with several high end online magazines. We specialize in highly engaging, ultra-shareable content reaching over 60 million Americans.ResponsibilitiesWrite complex queries and extract data to build database architecture. Integrate data products into dashboards and user interfaces as needed, by collaborating with engineering team.Manipulate, transform, and clean raw data in order to build data driven solutionsDetermine and define key metrics that are critical to the organization, construct predictive models for optimization, and implement data into building out product.Provide recommendations and lead process in choosing and integrating new technologies and platforms.Maintain ETL procedures and best practices for communication, quality assurance, coding, and documentation.Requirements5+ years of experience within the data science or engineering field with exposure to leading major projects in big-data environment.Experience with software development utilizing major modern language (i.e. Python, Scala, Java, etc.)Ability to work with complex problems and communicate analyses effectively.Strong knowledge of data management and visualization techniques.Excellent communication and collaboration skills. Strong organizational and leadership skills.EducationDegree in Applied Mathematics, Computer Science, or other related quantitative field of study. Masters degree is preferred.Experience within the digital publishing or adtech field is a major plus.Job TypeFull Time, In-HouseJob Type: Full-timeExperience:writing code in Python: 5 years (Preferred)data engineering: 5 years (Required)Education:Master's (Preferred)"
4,Northrop Grumman,Data Scientist/Principal Data Scientist,"San Diego, CA 92121", ,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEu9fDjYFDAHao5vBV_tWNLCxoeXqQQMNOENn3fCU7HTVhbAWWexa23hVLJLZSSoVMxMb0HWL6Uvr4t2vRXQj7r9P4pUObnfGn-7u6A1jW0MpuZoM0ECmZsNDwzpG3Rog6bNABKLgCF-5hUBEyyrn3c7ZQX_FybDjnoikD7fafLr4ooMTGWB-0oTCk0B_kUW08PHc1Hn_ee_qB-her7wPTWnnge7wz-tprnwlzIXayzFrVniArlOtb24xgVD8WuFNh3RKR8vUJBaM66uyxdB-YWajp410li8gQ9lo_KVoJhK28SojmN-aRU3VuS3mQB310ebfQ5hsVNOcUuQ9H2K2djQgY_UobfOXsxwlkmbGDrRPiigGzpgFWtm4m2Rntx0R_-VYHkYaziS7sp49Qzqz1_uxB0OlRuXfl3fXLYZRVZzzokAM8GVNiryV3ZyW7Skg9kMf2dftOrqQSjdOztMp8HH8rGu7PCi4sRuMsmMWh3OlnvTEBctw_zxEzAHsDyVxnUiDupgs0fqZ30vY69w_kjLlgX5XahTLIW-VbTQRxIl_9t_3tzJjlinrNKG1Eugym06feKfNszWKMQ749QOtOFyvaFJq_PxPzCzBO6t1kw-qsYRjvmVTSrWuCJsF8HEc=&vjs=3&p=5&sk=&fvj=0,Indeed,Data Scientist,San Diego, CA 92121,"Northrop Grumman is a leading global security company providing innovative systems, products and solutions in unmanned systems, cyber, C4ISR, and logistics and modernization to government and commercial customers worldwide.

The Mission Systems/C4ISR/Communications team focuses on key flight communications for programs like the F22 and F35, as well expanding into the Electronic Battlefield with programs such as CREW. Our Infrastructure team is a key component in supporting all development teams across multiple disciplines and driving efficient process improvement; consistent and accurate data analysis and modeling is the foundation for all our services.

The Data/Systems Engineer plays a dual role of analyzing and modeling data, as well as managing and developing systems. The candidate applying for this position should be able to work across disciplines and organizations; identifying requirements, implementing good data governance principles, and producing logical data models. The qualified applicant will be expected to work directly with internal customers to develop strategies to meet their specific needs, while at the same time developing a common core approach to extend solutions to other disciplines and organizations.

Responsibilities

Support the Infrastructure team's mission of continuous improvement through data driven processes and tools.

Work with customers to define requirements for systems and metrics

Perform Data Analysis of data vaults to find commonality and develop logical models

Convert requirements into actions and models

Identify critical problems and the steps required to resolve them

Provide cost and data analysis and guidance to high level requirements for project teams

This position may be filled at higher grade based on the requirements below.
This position may be filled as a level 2 or 3.

Basic Qualifications for level 2:
BA or BS in Statistics, Engineering or related field and a minimum of 2 years of related experience

Basic Qualifications for level 3:
BA or BS in Statistics, Engineering or related field and a minimum of 5 years of related experience

Basic Qualifications for level 2 or 3:
Experience in Data management, Data Engineering, or Data Science

Experience with R or similar statistical languages

1-2 years of experience using SQL to query databases (Oracle, SQL Server)

Preferred Qualifications:
1-2 years of experience with web development: HTML, CSS and JavaScript

Background in development and production of electronic and RF components, or a degree in a related field

Experience with Business Objects, Tableau, or other charting tools

Experience with shop floor systems

Experience with the Software Development lifecycle, and both Agile and Waterfall projects

Experience with electrical and mechanical data management systems

Data analytics and visualization, statistics

Database query experience

Experience with Excel Macros

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO . U.S. Citizenship is required for most positions."
5,Northrop Grumman,Data Scientist 4,"San Diego, CA 92121", ,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEu9fDjYFDAHao5vBV_tWNLCxoeXqQQMNOENn3fCU7HTVhbAWWexa23hVLJLZSSoWMsH7Tu1aVdrS3K-T50asX76Xzd0oE1pCNUeccALsPpHkpQfndNaXomwZcpsm7if0LZTX3OS8TDaySQwRPHWlMt8J9sqMX3OzKoMEfrwyKQfsSqn42V6ITxcC6oZTAN_yguCTTHZvzON9BjeyM7FG2f4vT2uJ9WR4wP2hUV-UQmglZYQsOsFI_QoCcRXW_OTwIC4Absrinz2XBxtKUm3OflSAACuNReLnS1PLKIzQIOaxuZKUhs2jqPCE0zEpaKgI_DXfNlGupJooQJ6HGvL7AmylUvpvFTWCowK24F2eu8MnMBXrcvJfR17VSLXa6ePh03_pJ9o260h3O55N7v25UX65OBA8gXeb5zi2mIzwApQqbrqNDDfrk1xQy2jr_j9SvVxHR0der6FtWYZQwPpqmTJkXAFwMVShjGKE3sTypbstdVHcTQA50qJuFrhKNoDlGJR4lmiDwOpnKQ-jcDdxjDYZJGUqOAG-85Lqtkwx8wOLjmdP_MgM2d4rdnLSzLOfVB9exsSr25e2IrU-zJcLHRVAVS4Co43lCYmSrz-Te6nzzdDppIQ1O1Z25qgqy0dg=&vjs=3&p=6&sk=&fvj=0,Indeed,Data Scientist,San Diego, CA 92121,"Northrop Grumman is a leading global security company providing innovative systems, products and solutions in unmanned systems, cyber, C4ISR, and logistics and modernization to government and commercial customers worldwide.

The Mission Systems/C4ISR/Communications team focuses on key flight communications for programs like the F22 and F35, as well expanding into the Electronic Battlefield with programs such as CREW. Our Infrastructure team is a key component in supporting all development teams across multiple disciplines and driving efficient process improvement; consistent and accurate data analysis and modeling is the foundation for all our services.

The Data/Systems Engineer plays a dual role of analyzing and modeling data, as well as managing and developing systems. The candidate applying for this position should be able to work across disciplines and organizations; identifying requirements, implementing good data governance principles, and producing logical data models. The qualified applicant will be expected to work directly with internal customers to develop strategies to meet their specific needs, while at the same time developing a common core approach to extend solutions to other disciplines and organizations.

Responsibilities

Support the Infrastructure team's mission of continuous improvement through data driven processes and tools.

Work with customers to define requirements for systems and metrics

Perform Data Analysis of data vaults to find commonality and develop logical models

Convert requirements into actions and models

Identify critical problems and the steps required to resolve them

Provide cost and data analysis and guidance to high level requirements for project teams

Basic Qualifications for level 4:
BA or BS in Statistics, Engineering or related field and a minimum of 9 years of related experience; 7 years of related experience with a Masters.

Experience in Data management, Data Engineering, or Data Science

Experience with R or similar statistical languages

Experience using SQL to query databases (Oracle, SQL Server)

Preferred Qualifications:
Experience with web development: HTML, CSS and JavaScript

Background in development and production of electronic and RF components, or a degree in a related field

Experience with Business Objects, Tableau, or other charting tools

Experience with shop floor systems

Experience with the Software Development lifecycle, and both Agile and Waterfall projects

Experience with electrical and mechanical data management systems

Data analytics and visualization, statistics

Database query experience

Experience with Excel Macros

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO . U.S. Citizenship is required for most positions."
6,University of California - Irvine,Data Scientist,"Irvine, CA 92697","$4,969 - $6,756 a month",https://www.indeed.com/rc/clk?jk=980a2949f46bbb4f&fccid=eacce60f6c6b75f5&vjs=3,Indeed,Data Scientist,Irvine, CA 92697,"$4,969 - $6,756 a monthContractUnder the general supervision of Professors Dana Mukamel and Kai Zheng, the incumbent will join the CalMHSA Mental Health Tech Suite Innovation (INN) Evaluation Team. This large, statewide multi-year study will evaluate the effectiveness of two new and innovative applications offered to people with mental health conditions, which include opportunities for online chatting between users and online listeners Responsibilities of the incumbent will include managing and analyzing text data created by users of the two mental health applications as part of the research and evaluation objectives of the team. The incumbent will collaborate with faculty and other team researchers, and will be expected to create under supervision and direction variables describing the usage of the apps, the interactions between users, and the effectiveness of the apps. The incumbent will also be expected to interact with the vendors of the apps around data issues.

The University of California, Irvine is an Equal Opportunity/Affirmative Action Employer advancing inclusive excellence. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or other protected categories covered by the UC nondiscrimination policy.

Salary: Monthly $4,968.58 - $6,755.83
Total Hours: 8-5, M-F
Contract Position.
Final candidate subject to background check.
As a federal contractor, UC Irvine is required to use E-Verify to confirm the work status of individuals assigned to perform substantial work under certain federal contracts/subcontracts.

Please attach your resume."
7,Dassault Systèmes,"BIOVIA - Data Science Internship, June - August 2019","San Diego, CA", ,https://www.indeed.com/rc/clk?jk=a4ae1626b4e304d9&fccid=29d37d43c382c8fe&vjs=3,Indeed,Data Scientist,San Diego, CA,"InternshipImagine new horizons

As a Data Science Intern, you will work on extending and validating machine learning (ML) and related capabilities in Pipeline Pilot. Potential projects include integration of open source ML capabilities such as scikit-learn or H2O, extending Pipeline Pilot's support for modeling time series and IoT data, and investigating the most effective machine learning approaches for modeling specific types of scientific research data.

This is a paid internship available for 12 weeks from June - August 2019. You will be working in the Dassault Systèmes BIOVIA office at 5005 Wateridge Vista Drive, San Diego, CA 92121

Do you have dreams? Do you enjoy a challenge? Here at Dassault Systèmes, we empower people with passion to change the world.
Shape your career with3DS! #WeAre3DS


What will your role be?

Integration and validation of new feature engineering and machine learning capabilities into Pipeline Pilot
Working with the Quality Assurance team to ensure good automated test coverage of all newly developed functionality
Participating with Product Management and customer-facing teams to contribute ideas for new features and product direction
Creating and presenting a 30-minute summary of your internship achievements
Your key success factors

Actively enrolled in a Bachelor's, Master's, or PhD program for the duration of the internship
A minimum GPA of 3.0/4.0
Work onsite at the Dassault Systemes office located in San Diego, CA
Strong background in mathematics, statistics, engineering, or a physical science
Proficiency in a programming language used in machine learning such as Java, Python, or R. A
Passion for working with data"
8,Xylem,Intern - Data Science - Summer 2019,"San Diego, CA", ,https://www.indeed.com/rc/clk?jk=3f21fa41692d4af8&fccid=68ec8a8ee6cf5ac6&vjs=3,Indeed,Data Scientist,San Diego, CA,"Temporary, InternshipXylem (XYL) is a leading global water technology company committed to developing innovative technology solutions to the world’s water challenges. The Company’s products and services move, treat, analyze, monitor and return water to the environment in public utility, industrial, residential and commercial building services settings. Xylem also provides a leading portfolio of smart metering, network technologies and advanced infrastructure analytics solutions for water, electric and gas utilities. The Company’s more than 16,500 employees bring broad applications expertise with a strong focus on identifying comprehensive, sustainable solutions. Headquartered in Rye Brook, New York with 2017 revenue of $4.7 billion, Xylem does business in more than 150 countries through a number of market-leading product brands.
The name Xylem is derived from classical Greek and is the tissue that transports water in plants, highlighting the engineering efficiency of our water-centric business by linking it with the best water transportation of all – that which occurs in nature. For more information, please visit us at www.xylem.com.
The Role: Xylem seeks to hire a Data Science Intern. You will be analyzing millions of time series using state of the art statistical methods, advanced machine learning, and big data technologies. Our data science team is a friendly collaborative environment. If you are excited and passionate to work on state-of-the art technology trends we want to hear from you!
Essential Functions:
Passion for applications, analytics, storage and distributed systems
Enjoy working in a fast-paced agile environment using Scrum
Excellent written and verbal communication skills
Strong customer focus
Minimum Qualifications:
Currently an accredited University studying toward a Bachelor’s of Science degree in Computer Science, Statistics or equivalent.
Experience with object oriented coding languages such as Java and Python
Experience with R programming language
Ability to work collaboratively within a team environment of engineers to meet aggressive goals and high quality standards
Demonstrated experience working with cross functional teams
Preferred Qualifications:
Experience with online distributed systems and platform infrastructure design and implementation
Experience with the Hadoop ecosystem and Spark
Experience in databases, analytics, big data systems or business intelligence products
Physical Demands:
(The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)
Light lifting (20-25 lbs.), office environment
Regularly required to sit or stand, reach, bend and move about the facility
Work Environment:
(The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)
Office: Standard office equipment; work usually performed in an office setting free from any disagreeable elements.
Standard weekly job hours: 40 hours

EOE including disability and veteran"
9,SSF IMPORTED AUTO PARTS LLC,Data Scientist Intern,"San Diego, CA 92121",$15 - $18 an hour,https://www.indeed.com/company/SSF-IMPORTED-AUTO-PARTS-LLC/jobs/Data-Scientist-Intern-3c9e245c34f2240f?fccid=1bcc750707b4a1c4&vjs=3,Indeed,Data Scientist,San Diego, CA 92121,"$15 - $18 an hourInternshipCompany Overview: SSF Imported Auto Parts LLC is an industry leader in the distribution of high-end quality car parts for European Cars. Having recently celebrated our 40th Anniversary, we are looking for a data-minded individual with a passion for automotive to join our growing team!Internship Details: Desired start: January 2019Completion: May/June 2019 (dependent on graduation date)Hours: minimum of 20 hours per week. We will accommodate your class schedule.Pay: $18/hourLocation: potential interns must be able to commute to our Sorrento Valley office.Ideal candidates are graduating in May/June 2019 with a Bachelor or Master’s degree in MIS, Computer Science or Business administration from an accredited college. This internship has the potential to convert to a full-time position, depending on performance.Day-to-day responsibilities include assisting the Purchasing, Product Management and Marketing departments’ needs for data acquisition and management as well analytics relating to product information, catalog data, channel pricing, marketing sales tools, and general market intelligence. In addition to supporting analytics, this internship will support upcoming software integration projects.Responsibilities:Collect, analyze and report data from several sources to key team membersWork directly with Head of Sales and VP of Purchasing, Product Management and Marketing on market sell price analysisAssist in department and/or company-wide technology implementation projectsMaintain an active role in supporting technology projects and research future growth opportunities by implementing technologyUtilize analytics and business intelligence to provide decision support for Purchasing, Product Management and MarketingGenerate ad-hoc reporting for Purchasing, Product Management and MarketingGenerate and distribute month-end KPI reports for departmentCommunicate analysis results to management team and Executive team membersAssist in the acquisition and analysis of ACES & PIES data in collaboration with product managersSpecial projects as neededQualifications: Understanding of data mining and analysisAn analytical mind with strategic abilityExcellent communication and people skillsKnowledge of Business Intelligence toolsDemonstrated proficiency with MS Windows and Office (Excel / Access)Ability to work independently and within a team environmentPassion for automotive a plusClean driving record, insurable by SSF under company policyReport any change in your personal status (driving, address, phone, marital, births, deaths) to Human ResourcesWork consistent with SSF Employee Handbook, guidelines, policies and proceduresMaintain a professional attitude with all SSF employees, customers, vendors and visitorsAnswer telephones in professional and courteous mannerMaintain a safe working environmentPhysical DemandsRepetitive use of hands and armsEye strain from continual computer usePhysical ability to lift up to 50 poundsEducation RequiredSpring 2019 graduation date with a Bachelor’s or Master’s degree in BusinessFocus in MIS, Computer Science, or Business Intelligence a plusJob Type: InternshipSalary: $15.00 to $18.00 /hourExperience:Data Mining: 1 year (Preferred)Excel: 1 year (Preferred)Business Intelligence: 1 year (Preferred)Education:Bachelor's (Preferred)"
