,Company,Title,Location,URL,Salary,Site,Keyword,City,State,Description
0,Eclaro,Data Scientist,"San Jose, CA ",https://job-openings.monster.com/data-scientist-san-jose-ca-us-eclaro/204076690, ,Monster,Data Scientist,San Jose, CA ,"Reference # : 18-08901Title : Data ScientistLocation : SAN JOSE, CAPosition Type : ContractExperience Level : Start Date  / End Date : 10/08/2018 / 01/08/2020 Assignment DetailIndustry:IT Consulting/ServicesJob Category:Quantitative Analysis / Data Science Description Data Scientist Eclaro is looking for a Data Scientist for our client in San Jose, CA. Eclaro’s client is a major technology firm with a prominent presence in large and fast-growing markets, providing products and services that enable businesses and economies to thrive.  If you’re up to the challenge, then take a chance at this rewarding opportunity!Required Skills:Build and evaluate predictive and decision models to be deployed in production systems or for researchAnalysis of large amounts of historical data determining suitability for modeling data clean-up and filtering pattern identification and variable creation selection of sampling criteria generating performance definitions and variablesConducting experiments with different types of algorithms and models analyzing performance to identify the best algorithms to employArchitect and develop operational models that run at scale thru partnership with data engineer teamsBackground in applied statistical modeling on large experimental or observational data setsQualifications:Master's degree or higher in statistics/Math/Computer Science or related field If hired, you will enjoy the following Eclaro Benefits:401k Retirement Savings Plan administered by Merrill LynchCommuter Check Pretax Commuter BenefitsEligibility to purchase Medical, Dental & Vision Insurance through EclaroInterested in applying? Contact Maria Castaneda at Maria.Castaneda@eclaro.com now.Equal Opportunity Employer: Eclaro values diversity and does not discriminate based on Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status. "
1,The Judge Group,Data Scientist III,"Rancho Cordova, CA ",https://job-openings.monster.com/data-scientist-iii-rancho-cordova-ca-us-the-judge-group/204048508, ,Monster,Data Scientist,Rancho Cordova, CA ,"THIS IS A PERMANENT POSITION - ONLY UCS & GC APPLY! Our client is currently seeking a Data Scientist III who will be responsible for advanced and predictive data analytics using big data and data science technology for healthcare innovation and outcomes. Perform analysis using data science techniques on structured and unstructured data sets, and develop algorithms for targeted business needs.This job will have the following responsibilities:Design and develop data models to predict member outcomes or future impact of key member decisions. Design and construct analysis tools that extract, and analyze data and store analytical results in an appropriate format for business needs. Conduct exploratory data analysis from complex data sources and build key data sets to support the client's mission. Evaluate and design experiments to monitor key metrics and identify improvement opportunities. Develop mathematical and statistical models to distinguish relevant content or events and recognize patterns. Participate in presentations and communicate results of research analysis and findings. Participate in the design of automated, operational analytics processes to achieve scale and durability of analysis processes. Validate and measure the outcomes of health management programs using SAS, R and other tools, to include provider data, claims data, membership data Manage multiple projects as assigned and assist with training Data Analysts. Responsible for development efforts with technical team liaisons, including gathering business requirements, documentation, testing, delivery and user adoption, and communicate expectations to the Health Plan.Qualifications & Requirements:Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 5+ years of experience or Bachelor’s degree and 7+ years of quantitative analysis experience in data science capabilities including data mining, predictive modeling, machine learning, statistical modeling, large scale data acquisition, transformation, and structured and unstructured data analysis. Experience with database technologies, including Oracle, SAP, DB2, Teradata, MS SQL Server, SAP HANA, MySQL.  "
2,"WorldLink, Inc.",Data Scientist,"Mountain View, CA ",https://job-openings.monster.com/data-scientist-mountain-view-ca-us-worldlink-inc/204423394, ,Monster,Data Scientist,Mountain View, CA ,"Title: Product Manager – Customer Device Analytics  Location: Mountain View- CAJob description:  This position will be responsible to design, deliver and drive the end-to-end Customer Device Analytics (CDA) stack that is the core for all customer engagement with the client. Ensuring that all layers under the CDA stack are functioning as expected will be of critical importance as many internal teams/systems will depend on this core resource for their customer engagements. This is just as much a business role as it is a technical one. This position will report to the Director of Customer Device Analytics.Business unit/Team: In today’s fast evolving technology world, one aspect remains common – reliance on Data to drive the next wave of innovation. Strategic Analytics is the Client's Center-of-Excellence that is driving the adoption of data driven decision making and product development across the company. The team’s core focus is developing best-in-class solutions that provide Client’s marketing and service organizations with a 360 degree view of the its customers.Strategic Analytics is powering a paradigm shift with the client and the global industry. We are looking for highly talented team members who are passionate about data, have the rigor needed to solve billion dollar problems, and possess an innate entrepreneurial spirit to explore the uncharted. Strategic Analytics combines the engineering backbone of a best-in-class Big Data Platform with the analytic expertise of advanced mining and predictive modeling.If you want to work among the very best talent in the industry, working on the most innovative products in the world, this is the place to be.Responsibilities:Design & deploy: CDA stack is a modular set of tools and models that always remains live. It is expected to add/edit/augment various parts of this stack to address key business needs. Therefore, designing and deploying new features to this ever-evolving stack will be a critical part of this job.   Product development:  While the Platform & Data Science teams will be responsible to complete their respective tasks under CDA, it is essential that this role has an understanding of a broad range of topics required to run a best-in-class user-profile. This includes the knowledge of data quality, ID mapping, DB storage, Analytical modules, Data Governance, API and Reporting.Business co-ordination: Since the CDA stack will be the ‘single source of truth’ about customers for all teams across Samsung, it involves a fair bit of internal co-ordination. This person is expected to understanding business challenges, conduct feasibility study and execute tasks in a timely manner.   Desired background / mindset / skills:Background:Graduate or bachelor degree in a quantitative field (e.g., math, computer science, statistics, economics, psychology, physical sciences, etc.)4 or more years of professional experience in marketing, trade marketing, product management, sales, retail or related field in a quantitative roleDirect experience with building and using Customer-profiles in retail/e-commerce/consumer packaged goods (CPG), Mobile or Consumer electronics industries would be preferredMindset:Irrepressible intellectual curiosity, boldness, and honestySelf-starter mentality with the ability to deliver results Ability to draw from disparate sources and bring ‘fresh’ ideas to solve traditional problemsFocused on results and their implications (rather than methods/tools/process)Comfortable re-prioritizing as situations change to maximize our impactOpenness to work with different cultures and working styles  Skills:Succinct, proactive communication; translate data analytics into business speakProven experience in managing multiple tasks simultaneously with a rigid determination to meet deadlinesComfortable to work with people from a broad range of backgrounds from highly technical to marketing to sales/business "
3,Pfizer,Clinical Data Scientist (Manager) [Mandarin proficiency preferred],"San Diego, CA ",https://job-openings.monster.com/clinical-data-scientist-manager-mandarin-proficiency-preferred-san-diego-ca-us-pfizer/204542154, ,Monster,Data Scientist,San Diego, CA ,"As part of the Data Monitoring and Management group, an integral delivery unit within the Global Product Development (GPD) organization, the Clinical Data Scientist is responsible for timely and high quality data management deliverables supporting the Pfizer portfolio.  The Clinical Data Scientist designs, develops, and maintains key data management deliverables used to collect, review, monitor, and ensure the integrity of clinical data, oversees application of standards, data review and query management, and is accountable for quality study data set release and consistency in asset/submission data.ROLE RESPONSIBILITIES Clinical Data ScientistServe as Clinical Data Scientist for one or more clinical trials assuming responsibility for all DM&M activities including selection and application of data acquisition standards, Data Management Plan, selection of quality risk indicators, third party study data due diligenceParticipates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF, using an electronic data capture (EDC) system and/or other data collection systems. Serve as a technical resource to the study teams for DM and RBM standards, tools, data provisioning, and reportingPartners with Research/Business Units and any external DM service provider to deliver high quality data management for all studies as assigned.Proactively drives quality and efficiency to meet timeline and milestones for data management, ensuring scientific and operational excellence in support of strategic imperatives and in collaboration with the cross functional study team (s).Ensure work carried out by DM providers is in accordance with applicable SOPs and working practices.Ensure the required study-specific DM&M documents in the Trial Master File (TMF) are of high quality and are filed contemporaneously.Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring, data cleaning, e-data processing, data access and visualization, and database release.QUALIFICATIONS For these openings we need to have someone who is proficient in Mandarin language skills.Proficient experience using Oracle Inform EDC softwareExperience with Oracle DMW preferredWorking experience applying CDISC CDASH standardsDemonstrated successful experience in all relevant clinical data management activities in a BioPharmaceutical or CRO settingWorking knowledge of all phases of clinical trials and ability to assess and determine study requirement from protocol reviewStrong Project and Risk ManagementCRO and vendor oversight experience preferredStrong verbal and written communication skillsMandarin proficiency preferredConsistent, detail oriented, communicative, dedicated to do a job well doneMinimum 5 years Data Management experience requiredWorking knowledge of clinical research, FDA & ICH, GCP, GCDMP, and related regulatory requirementsExperience using data visualization tools (e.g. Spotfire, jReview)Familiarity with MedDRA/WHO-DrugProficiency in the use of Microsoft Office Suite of tools (Outlook, Word, Excel, etc.)Bachelor’s degree required.EEO & Employment EligibilityPfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status.  Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA.   Pfizer is an E-Verify employer.Sunshine ActPfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure.  Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act.  Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government.  If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates. "
4,Bosch,Data Scientist,"Palo Alto, CA ",https://job-openings.monster.com/data-scientist-palo-alto-ca-us-bosch/204524470, ,Monster,Data Scientist,Palo Alto, CA ,"Data Scientist384 Santa Trinita Ave, Sunnyvale, CA 94085, USAFull-timeLegal Entity: Robert Bosch LLCCompany DescriptionThe Bosch Center for Artificial Intelligence provides services in AI technologies to Bosch’s business units and plants. The center works in collaboration with a large team of researchers, engineers, and software service providers. Our data mining methods and solutions are implemented in a modern distributed architecture in order to scale up to very large data sets.Artificial intelligence technologies are impacting Bosch’s products and services in many domains: manufacturing, predictive maintenance, vehicle diagnostics, supply chain, large-scale simulations, etc. This is a technical position for someone who is skilled at bringing together disparate technologies to solve business problems.Job DescriptionPrimary Responsibilities:Execute complex data science / data engineering projects that have a significant impact on Bosch global business.Share knowledge by clearly articulating results and ideas to customers, managers, and key decision makers.Collaborate with product, engineering, and marketing teams across many Bosch business domains (automotive, industrial, internet of things) to translate business needs into technical solutionsSelect and apply appropriate statistical, machine learning, and computing methods to large-scale, high-dimensional dataDevelop analytic methods for decision support in various Bosch businessesStay current with the latest research and technology and communicate your knowledge throughout the enterpriseTake responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrityContribute to Bosch's patent portfolioUp to 10% travel may be required.QualificationsBasic Qualifications:M.S. in Computer Science, Statistics, Mathematics, Industrial Engineering, Computer Engineering, Electrical Engineering, Physics, or Bioscience3+ year programming experience in at least 1 of the following: Python, Java, Scala, R, C++2+ years professional work experience in Data Science with focus on Probabilistic Graphical Models, Bayesian NetworksPreferred Qualifications:Ph.D. in Computer Science, Statistics, Mathematics, Industrial Engineering, Computer Engineering, Electrical Engineering, Physics, or BioscienceStrong background in statistics, machine learning, and/or big data processingExperience working with big data tool chains (e.g. Hadoop & Spark ecosystems)Experience with neural networks and deep learning methods, a plusStrong analytical and problem solving skillsExcellent communication skillsAdditional InformationBy choice, we are committed to a diverse workforce - EOE/Protected Veteran/Disabled.BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics)Initiatives:FIRST Robotics (For Inspiration and Recognition of Science and Technology)AWIM (A World In Motion) "
5,CyberCoders,Lead Data Scientist -- Thriving Leader in the Fashion Industry,"San Francisco, CA ",https://job-openings.monster.com/lead-data-scientist-thriving-leader-in-the-fashion-industry-san-francisco-ca-us-cybercoders/204488526, ,Monster,Data Scientist,San Francisco, CA ,"If you are a Lead Data Scientist with experience, please read on!Top Reasons to Work with Us1. Based in San Francisco, we are a thriving leader in the fashion industry.2. Our company has been around for 7 years and we employ thousands of people.3. You will get the chance to work on exciting projects with a talented team.What You Will Be Doing-Design and test machine learning models to create highly accurate systems used in operations.-Write production quality code.-Take ownership of key components, ensuring that they meet the needs of the business-Collaborate with senior management, product management, and other engineers in the development of product requirements for the company's software.-Mentor team members to build the company's overall expertise-Work to make our company an innovator in the space by bringing passion and new ideas to work every day.What You Need for this Position-A quantitative degree-4-6 years of experience in a similar role-4-6 years of machine learning experience with heavy focus on CNN & RNN/LSTM architectures-4-6 years of experience with github, working with cloud systems application hosting, file storage, etc-Fluency in Python & SQL-High degree of familiarity with:-TensorFlow/Keras & Sklearn-Computer Vision & Sequence Models-Experience working with data warehouses such as AWS Redshift or Google BigQuery-An in depth knowledge or project you can showcase your skills-Comfortable working in an environment where innovation and change are the norm.-A passion for building great products.NICE TO HAVE-E-commerce experience-Startup experience-Experience writing APIs for use in production-Recommendation engine experience-Pricing experience-Image similarity experienceWhat's In It for You-Competitive base salary between $160k and $180k (we may go a bit higher for the right candidate)-401K matching-Health, dental and vision insurance-Commuter flex spending-Healthcare flex spending-Generous PTO-A mother’s room-Flexible work hours-Friday bagelsSo, if you are a Lead Data Scientist with experience, please apply today! "
6,Shape (ShapeScale),"Sr. Data Scientist, Geometric 3D Deep Learning","San Francisco, CA ",https://job-openings.monster.com/sr-data-scientist-geometric-3d-deep-learning-san-francisco-ca-us-shape-shapescale/533fb2d5-b593-4dc7-9636-aa844f0d5fb7, ,Monster,Data Scientist,San Francisco, CA ,"Based in San Francisco, we are a team with a passion for great design, user experience, hardware, software, and sports. Together we share the commitment to create products that connect the human body with technology in a magical way. We're working to become the most empowering consumer company of the 21st century.    Shape is backed by renowned investors such as Y Combinator and Stanford StartX.Our first product, ShapeScale, is the first photorealistic 3D body scanner that shows you how your body shape changes over time. It’s not only a game changer for fitness but also an enabler for a number of fashion, healthcare, and AR / VR applications. We have recently started to take pre-orders for ShapeScale and have thus far received thousands of pre-orders.Shape is looking for a talented Senior Data Scientist/ Geometric Deep Learning with an entrepreneurial spirit to join our team and help us achieve our technology goals. In this role you will work on on the acquisition, processing, and analysis of the data captured by ShapeScale and develop state-of-the-art 3D deep learning and machine learning methods. This role is perfect for driven individuals who are excited to take on large responsibilities and solve unique technical challenges.Recent PhD-graduates and experienced candidates are welcome to apply for this role. The candidate of choice will be hired into the level that is commensurate with their educational background and experience.WHAT YOU’LL DODevelop existing and new body shape parameterization, segmentation, correspondence, registration, posture estimation and analysis methods and algorithms.Design, build, train and optimize 3D deep learning and computer vision algorithms with a focus on high performance and efficient implementation.Working with founding team members to define technology stack, understanding the business needs and choosing the right languages, tools, libraries, platforms, and partners for the job.Lead the efforts on designing, building, and labeling Shape’s dataset of 3D human body scans.Find the best solutions to computer vision problems, innovating new network architectures when necessary, and knowing when to use existing ones.Analyze and prototype key 3D deep learning and data analytics algorithms and applications.Define Deep/Machine Learning architecture best practices and keep up to date with the evolving deep learning frameworks.Develop or modify tools for visual data analysis and verification.Utilize 3D deep learning frameworks such as TensorFlow, Caffe, Torch, PointNet,  ShapeNet, etc, and implement substantial portions of production code in C / C++ and Python.Conceive proof-of-concept prototypes that establish overall system performance.Participate in defining product requirements.Evaluate technical trade-offs.Help to recruit and lead a team of data scientists.REQUIREMENTSMinimumMS in Computer Science, Applied Mathematics, Physics or Computer Vision.Fundamental understanding of 3D deep learning, 3D semantic scene understanding, and 3D point cloud analysis.Hands-on experience in geometric/3D deep learning frameworks and libraries  e.g., Tensorflow, Pytorch, Caffe, Keras, PointNet, ShapeNet, etc..Experience in training and evaluation of computer vision algorithms on large datasets.Outstanding skills in Python, C & C++ with experience in writing robust and maintainable production code.Experience in developing computer vision/imaging and machine learning algorithms for embedded and non embedded platforms.Knowledge of object classification, template matching, or other machine learning methods for computer vision.Comfortable with 3D computational geometry, linear algebra, statistics, numerical methods and error analysisExperience with 3D reconstruction from camera images and depth sensors.PreferredPh.D. in Computer Science, Applied Mathematics, Physics or Computer Vision.Complete mastery of 3D deep neural networks; you have created 3D deep neural networks and seen them through to high performance and/or have published papers at the top conferences.Prior experience involving 3D scanning or measurement of the human body is a big plus.Completion and deployment of significant computer vision projects in a commercial environment.Experience with existing computer vision libraries such as OpenCV, PCL, CGAL, Eigen, etc.Experience with Texture projection, generation, completion using patch match algorithms.Experience with 2D and 3D tracking algorithms such as SLAM.Knowledge of WebGL / OpenGL / OpenCV/ video codec / video processing.Proven publication track record at conferences such as SIGGRAPH, CVPR, NIPS, ECCV, ICCV, ISMAR, ICML, ICPR, etc.Experience with computational imaging / photography.Experience with embedded Linux / Linux Kernel / DriversExperience with imaging sensors and camera module packaging / manufacturing / calibration / testingHas experience with Agile methods, Scrum / Kanban / etc.Knowledge of scripting language, e.g. Python, Bash, etc.Camera and/or video pipeline knowledge and experience.BENEFITSCompetitive salary and equityFlexible work schedule, unlimited holidays with a mandatory 15 days / year off.Great, comprehensive health insurance : low deductible - 100% covered (incl. dependents)Visa sponsorship if necessaryCatered lunches with healthy eating options suitable for all diets and allergies and healthy snacksTop of the line Apple and Windows equipment of choice that you think you need to work comfortably and efficientlyMotorized sit / standing desk with Herman Miller or Steelcase chairs.Fitness discounts and fun, action-inspired company-wide events and outings, gaming eveningsCommuter benefits or subsidiesOffice located at the heart of San Francisco (SoMa)A fun, creative and collaborative environment of a young startup company with a driven, agile and adept international teamThe opportunity to have an impact on millions of people and make them happier and healthier "
7,Personiv,Data Scientist,"Mountain View, CA ",https://job-openings.monster.com/data-scientist-mountain-view-ca-us-personiv/204333061, ,Monster,Data Scientist,Mountain View, CA ,"Position: Data ScientistWork Type: Full TimeResponsibilities Builds new predictive/descriptive models, evaluate current effectiveness of old models, design experiments/campaigns and analyze the resulting data, perform post-hoc (correlational) analysis when experimental designs (causational analyses) are not feasible and explains the limitations of the results, advises analytical data programmers on quality and infrastructure needs/challenges, etc.Write code intended for automation of tasks.Design, and develop cutting edge AI technologies (ML models, algorithms, etc) in medication management, patient behavioral modeling, and anomaly detectionWork with product and design teams to plan how to shape product and communicate data insights to non-expertsExecute cohort studies and drive analyses to understand patient’s behavior and identify opportunities for improving our product(s)Translating analytical results, presenting to manager level and below, and making recommendations for improvements in the areas of applicationCreate and present technical results to business managers.Creates technical documentation of basic analyses.Identifies and works with other analysts and engineers on data preparation issues (such as missing values and invalid data)Applies basic techniques for handling interactions with limited involvement from other analysts and engineersPerform medium scale statistical analysis or medium scale modeling projects independently or in collaboration with other analysts and engineers.Depending on prior roles, may require formal training in some topical areas.Partner with more experienced analysts and engineers on large scale modeling projects.Technically supervising, mentoring, coaching, and training other analyst and engineers on advanced statistical techniques and how to apply them to business problems Qualifications MS degree in Analytics, Statistics, or Mathematics fields and 2-4 years of Analytics experience, or industry experience equivalent.Must be a proficient storyteller able to explain complicated statistical analyses, techniques, and results to non-statistical audiences of Director-level Executives and below.Capable of working and communicating directly with Manager-level and below to scope the technical needs of medium scale, medium-value projects and ad-hoc analyses.Capable of assisting in the technical supervision and training of other analysts / data scientists / engineersCapable of writing basic technical documents of small analytics without assistance.Strong background in Statistics and Machine Learning with extensive practical experiences in developing AI solutions to solve real-work problems.Hands-on experience with statistical analysis and data mining tools, such as R, Python, Scala, etc.Strong problem-solving skills with emphasis on product developmentPreferred QualificationsPh.D. in Computer Science, Applied Mathematics or other quantitative discipline with a focus on statistical modeling, artificial intelligence, and mathematical algorithms "
8,Insight Global,Data Scientist,"Burbank, CA ",https://job-openings.monster.com/data-scientist-burbank-ca-us-insight-global/204299814, ,Monster,Data Scientist,Burbank, CA ,"An employer is looking for a Data Scientist in Burbank, CA. This Data Scientist will be a part of the Data Science team (8 people) which supports the entire company (12 business units). The resource will focus on SQL, R, and utilization of visualization libraries with R like ggplot2 and shiny, as well as data aggregation libraries like data.table, and exploratory techniques like clustering and segmentation.This role will focus on advanced analytics and the data exploration side of data science, and less on predictive modeling. The role will be focused on making our DC Universe streaming service amazing and will be supporting their team with advanced analytics and data science focused on how users use the platform. This role will now be dedicated to DC Universe and will be embedded with their team (3-4 days with their team per week).  At least 2-3 years of Mobile Analytics or Mobile Data Science experience  Experience with R and visualization libraries like ggplot2 and shiny   Experience doing analysis on data from mobile apps   Well versed in SQL (able to write SQL queries from scratch)   Experienced with using data aggregation libraries like data.table  "
