,City,Data Science Jobs,Lat,Lng
0,San Francisco,285,37.7749295,-122.4194155
1,San Diego,73,32.715738,-117.1610838
2,San Jose,60,37.3382082,-121.8863286
3,Sunnyvale,49,37.36883,-122.0363496
4,Los Angeles,48,34.0522342,-118.2436849
5,Santa Clara,47,37.3541079,-121.9552356
6,Mountain View,47,37.3860517,-122.0838511
7,Palo Alto,46,37.4418834,-122.1430195
8,Menlo Park,43,37.4529598,-122.1817252
9,Redwood City,37,37.48521520000001,-122.2363548
10,San Juan Capistrano,37,33.5019027,-117.6627655
11,Santa Clara Valley,33,37.2488478,-121.8399593
12,Irvine,26,33.6845673,-117.8265049
13,South San Francisco,23,37.654656,-122.4077498
14,San Bruno,18,37.6304904,-122.4110835
15,San Mateo,16,37.5629917,-122.3255254
16,Santa Monica,16,34.0194543,-118.4911912
17,Pleasanton,14,37.6624312,-121.8746789
18,Foster City,14,37.5585465,-122.2710788
19,Oakland,13,37.8043637,-122.2711137
20,San Francisco Bay Area,11,37.8271784,-122.2913078
21,Sacramento,11,38.5815719,-121.4943996
22,Carlsbad,11,33.1580933,-117.3505939
23,Valencia,10,34.456151,-118.5713823
24,Fremont,9,37.5482697,-121.9885719
25,El Segundo,9,33.9191799,-118.4164652
26,Emeryville,8,37.831316,-122.2852473
27,Glendale,8,34.1425078,-118.255075
28,West Hills,8,34.1973122,-118.6439809
29,Milpitas,8,37.4323341,-121.8995741
30,Costa Mesa,8,33.6412156,-117.9188221
31,San Ramon,8,37.7799273,-121.9780153
32,Berkeley,7,37.8715926,-122.272747
33,Livermore,6,37.6818745,-121.7680088
34,San Carlos,6,37.5071591,-122.2605222
35,Mill Valley,6,37.9060368,-122.5449763
36,Thousand Oaks,5,34.1705609,-118.8375937
37,Newport Beach,5,33.6188829,-117.9298493
38,Culver City,5,34.0211224,-118.3964665
39,Pasadena,5,34.1477849,-118.1445155
40,Manhattan Beach,4,33.8847361,-118.4109089
41,Monrovia,4,34.1442616,-118.0019482
42,Aliso Viejo,3,33.5684605,-117.7262981
43,Torrance,3,33.8358492,-118.3406288
44,Brea,3,33.916475,-117.9002918
45,La Jolla,3,32.8328112,-117.2712717
46,Bakersfield,3,35.3732921,-119.0187125
47,Agoura Hills,3,34.1533395,-118.7616764
48,Burlingame,3,37.5778696,-122.34809
49,Folsom,3,38.6779591,-121.1760583
50,Hayward,3,37.6688205,-122.0807964
51,Richmond,3,37.9357576,-122.3477486
52,Santa Barbara,3,34.4208305,-119.6981901
53,Northridge,3,34.2381251,-118.530123
54,Woodland Hills,3,34.165357,-118.6089752
55,Ontario,3,34.0633443,-117.6508876
56,Santa Ana,3,33.7454725,-117.867653
57,Fountain Valley,2,33.7090212,-117.9544069
58,Encino,2,34.1517492,-118.5214282
59,Marina del Rey,2,33.9802893,-118.4517449
60,Universal City,2,34.1397694,-118.3505779
61,Campbell,2,37.2871651,-121.9499568
62,Novato,2,38.1074198,-122.5697032
63,Irwindale,2,34.1069527,-117.9353413
64,Playa Vista,2,33.9719826,-118.4265872
65,Loma Linda,2,34.0483474,-117.2611527
66,Silicon Valley,2,37.387474,-122.0575434
67,Stanford,2,37.42410599999999,-122.1660756
68,San Rafael,2,37.9735346,-122.5310874
69,Moffett Field,2,37.4112691,-122.0540996
70,sunnyvale,2,37.36883,-122.0363496
71,Concord,1,37.9779776,-122.0310733
72,Rocklin,1,38.7907339,-121.2357828
73,Tustin,1,33.7420005,-117.8236391
74,California City,1,35.125801,-117.9859038
75,Cerritos,1,33.8583483,-118.0647871
76,Rancho Cordova,1,38.5890723,-121.302728
77,Edwards AFB,1,34.9240314,-117.8912085
78,Upland,1,34.09751,-117.6483876
79,Edison,1,35.3475038,-118.8719662
80,Hollywood,1,34.0928092,-118.3286614
81,Greenbrae,1,37.9476326,-122.5252604
82,Sherman Oaks,1,34.1489719,-118.451357
83,San Clemente,1,33.4273521,-117.6126004
84,livermore,1,37.6818745,-121.7680088
85,santa Clara,1,37.3541079,-121.9552356
86,West Hollywood,1,34.0900091,-118.3617443
87,Santa Maria,1,34.9530337,-120.4357191
88,Escondido,1,33.1192068,-117.086421
89,El Cajon,1,32.7947731,-116.9625269
90,Rosemead,1,34.0805651,-118.072846
91,Long Beach,1,33.7700504,-118.1937395
92,Westwood,1,40.3059999,-121.0057931
93,Woodland,1,38.67851570000001,-121.7732971
94,Anaheim,1,33.8365932,-117.9143012
95,Chino,1,34.0122346,-117.688944
96,San jose,1,37.3382082,-121.8863286
97,Walnut Creek,1,37.9100783,-122.0651819
98,Newark,1,37.5296593,-122.0402399
99,Los Gatos,1,37.2358078,-121.9623751
100,Alameda,1,37.7652065,-122.2416355
101,Arroyo Grande,1,35.1185868,-120.5907252
102,West Sacramento,1,38.5804609,-121.530234
103,Benicia,1,38.049365,-122.1585777
104,Lake Forest,1,33.6469437,-117.6861023
105,Santa Rosa,1,38.440429,-122.7140548
106,Santa Clarita,1,34.3916641,-118.542586
107,San Luis Obispo,1,35.2827524,-120.6596156
108,Whittier,1,33.9791793,-118.032844
109,Bell,1,33.9775142,-118.1870156
